date,port_id,throughput_teu,berth_utilization,avg_dwell_time_days,container_spot_rate
2025-01-01,PORT_SHANGHAI,124986,0.7299389764057082,3.518561887410766,2471.7970186202306
2025-01-02,PORT_SHANGHAI,121539,0.7923913777131847,5.9568885276935575,2296.608456665766
2025-01-03,PORT_SHANGHAI,122367,0.8116401165004598,3.625281043846203,2344.7946517028518
2025-01-04,PORT_SHANGHAI,124055,0.8430515927713125,4.359240668868156,2430.8395326677155
2025-01-05,PORT_SHANGHAI,117248,0.8228212346288357,3.820281328602793,2284.4189896575417
2025-01-06,PORT_SHANGHAI,119504,0.8811293192806129,4.307835515406985,2577.2700394012604
2025-01-07,PORT_SHANGHAI,129517,0.9175583920065454,4.553888633986027,2473.509357586527
2025-01-08,PORT_SHANGHAI,127621,0.9717354646949931,5.27043919242236,2641.059337129559
2025-01-09,PORT_SHANGHAI,121764,0.9471418256095013,3.7312025275045357,2510.81691566835
2025-01-10,PORT_SHANGHAI,123494,0.98,3.5110567296316972,2779.805329509636
2025-01-11,PORT_SHANGHAI,117655,0.8415364324232633,3.6472080706873906,2683.8176587142534
2025-01-12,PORT_SHANGHAI,117865,0.9050877556576431,5.802771528853182,2992.061328359293
2025-01-13,PORT_SHANGHAI,122949,0.8473348881307886,5.570601352053123,2649.9610719373054
2025-01-14,PORT_SHANGHAI,117085,0.9205006431222537,4.409844310196492,2776.3793268448735
2025-01-15,PORT_SHANGHAI,119185,0.7407718393549063,4.417583718505347,2630.840813198189
2025-01-16,PORT_SHANGHAI,122923,0.7080139078909613,4.593734229407513,2745.605264368067
2025-01-17,PORT_SHANGHAI,118798,0.6888436141051351,3.692822028638552,2956.7383935637495
2025-01-18,PORT_SHANGHAI,122286,0.5827947173231396,5.9582095607713015,3071.752988407523
2025-01-19,PORT_SHANGHAI,117612,0.6355444610720911,4.042609634346318,3384.9797545920865
2025-01-20,PORT_SHANGHAI,117843,0.600571643100706,3.9831107993278683,2963.0348442670434
2025-01-21,PORT_SHANGHAI,132106,0.6276158787561447,4.231716932622681,2874.248076602392
2025-01-22,PORT_SHANGHAI,126681,0.6244293213445851,3.5481046642919774,3163.3033491436727
2025-01-23,PORT_SHANGHAI,126935,0.6946302576555534,3.6818617050492723,2916.5526132920018
2025-01-24,PORT_SHANGHAI,118637,0.6483429076040615,4.839539090423964,3205.1134484749314
2025-01-25,PORT_SHANGHAI,120331,0.5784963397726067,3.5864282756718437,3079.1775029527967
2025-01-26,PORT_SHANGHAI,123160,0.5751754558649164,4.424202218985116,3219.5748000522412
